Old profile URL,New profile URL,Pick,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/youth-worker,262,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/optometrist,264,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/midwife,265,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/care-escort,266,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/painter-and-decorator,268,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/management-accountant,269,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/cement-maker,270,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/hotel-porter,270,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/senior-care-worker,270,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/health-play-specialist,271,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/taxi-driver,272,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/firefighter,273,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/forensic-scientist,273,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/data-entry-clerk,274,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/train-station-staff,278,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/receptionist,279,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/food-scientist,280,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/production-worker-(manufacturing),281,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/trade-union-official,282,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/production-manager-manufacturing-,287,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/merchant-navy-rating,289,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/chef,292,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/human-resources-manager,292,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/water-treatment-worker,292,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/accounting-technician,293,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/pre-press-operator,293,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/school-nurse,293,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/horticultural-manager,294,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/mp,296,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/cleaner,298,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/office-manager,298,,,,,
